Posicao,Tempo_Total_Aleatorio,Passos_Aleatorio,Resultado_Aleatorio,Tempo_Parede,Passos_Parede,Resultado_Parede
"(0, 0)",600000.005,63,TIMEOUT,0.039,64,ABERTO
"(7, 7)",600000.007,63,TIMEOUT,0.038,64,ABERTO
"(7, 0)",600000.005,63,TIMEOUT,0.042,64,ABERTO
"(0, 7)",600000.007,63,TIMEOUT,0.079,64,ABERTO
"(3, 4)",600000.006,57,TIMEOUT,0.038,64,ABERTO
"(1, 1)",600000.004,61,TIMEOUT,0.040,64,FECHADO
"(0, 1)",600000.004,60,TIMEOUT,0.080,64,ABERTO
"(6, 7)",600000.003,59,TIMEOUT,0.078,64,ABERTO
"(7, 1)",600000.004,59,TIMEOUT,0.097,64,ABERTO
"(1, 7)",600000.007,60,TIMEOUT,0.079,64,ABERTO
"(5, 4)",600000.003,60,TIMEOUT,0.080,64,ABERTO
"(2, 3)",600000.009,60,TIMEOUT,0.041,64,ABERTO
