heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
primeiramelhora,32,10,1,0.101,1714,160,NA
primeiramelhora,32,10,2,0.032,490,172,NA
primeiramelhora,32,10,3,0.116,2065,161,NA
primeiramelhora,32,10,4,0.045,758,182,NA
primeiramelhora,32,10,5,0.082,1417,157,NA
primeiramelhora,32,10,6,0.043,667,198,NA
primeiramelhora,32,10,7,0.065,1142,161,NA
primeiramelhora,32,10,8,0.037,562,191,NA
primeiramelhora,32,10,9,0.030,477,164,NA
primeiramelhora,32,10,10,0.049,748,169,NA
primeiramelhora,100,10,1,0.104,1858,590,NA
primeiramelhora,100,10,2,0.074,1356,609,NA
primeiramelhora,100,10,3,0.197,3769,471,NA
primeiramelhora,100,10,4,0.159,2770,484,NA
primeiramelhora,100,10,5,0.101,1901,593,NA
primeiramelhora,100,10,6,0.117,2263,582,NA
primeiramelhora,100,10,7,0.115,2028,502,NA
primeiramelhora,100,10,8,0.132,2452,504,NA
primeiramelhora,100,10,9,0.327,6224,464,NA
primeiramelhora,100,10,10,0.142,2557,478,NA
primeiramelhora,89,20,1,0.555,6235,292,NA
primeiramelhora,89,20,2,0.730,6604,314,NA
primeiramelhora,89,20,3,0.605,5331,288,NA
primeiramelhora,89,20,4,0.363,3912,328,NA
primeiramelhora,89,20,5,0.234,2693,440,NA
primeiramelhora,89,20,6,0.598,6543,250,NA
primeiramelhora,89,20,7,0.712,7945,278,NA
primeiramelhora,89,20,8,0.561,5869,301,NA
primeiramelhora,89,20,9,0.421,3557,285,NA
primeiramelhora,89,20,10,0.707,6451,266,NA
primeiramelhora,400,20,1,2.032,22022,1142,NA
primeiramelhora,400,20,2,0.884,10859,1340,NA
primeiramelhora,400,20,3,1.872,15574,1418,NA
primeiramelhora,400,20,4,1.938,21173,1201,NA
primeiramelhora,400,20,5,1.178,13768,1133,NA
primeiramelhora,400,20,6,1.006,12420,1299,NA
primeiramelhora,400,20,7,1.974,20538,1206,NA
primeiramelhora,400,20,8,2.389,28123,1224,NA
primeiramelhora,400,20,9,1.231,14276,1233,NA
primeiramelhora,400,20,10,0.983,11609,1339,NA
primeiramelhora,354,50,1,13.366,64665,547,NA
primeiramelhora,354,50,2,7.566,37689,634,NA
primeiramelhora,354,50,3,7.267,37203,579,NA
primeiramelhora,354,50,4,5.821,27602,655,NA
primeiramelhora,354,50,5,4.389,22944,535,NA
primeiramelhora,354,50,6,6.335,32640,579,NA
primeiramelhora,354,50,7,8.040,41297,590,NA
primeiramelhora,354,50,8,14.637,78425,528,NA
primeiramelhora,354,50,9,10.995,58669,582,NA
primeiramelhora,354,50,10,6.814,35491,604,NA
primeiramelhora,2500,50,1,67.456,362556,3089,NA
primeiramelhora,2500,50,2,37.302,202463,3072,NA
primeiramelhora,2500,50,3,29.547,153242,3007,NA
primeiramelhora,2500,50,4,40.105,192010,2995,NA
primeiramelhora,2500,50,5,42.859,219787,3106,NA
primeiramelhora,2500,50,6,39.334,210189,3022,NA
primeiramelhora,2500,50,7,76.496,412035,2971,NA
primeiramelhora,2500,50,8,55.667,295532,2992,NA
primeiramelhora,2500,50,9,32.975,174217,3102,NA
primeiramelhora,2500,50,10,50.625,274050,2991,NA
